mission,scene_1,date_1,scene_2,date_2,year_1,year_2,pair_type,temporal_baseline_days,repeat_cycle_days,repeat_cycle_multiple,expected_cycle_days,cycle_difference_days,same_geometry_metadata,metadata_compared,metadata_mismatches,path_1,path_2,frame_1,frame_2,beam_1,beam_2,polarization_1,polarization_2,direction_1,direction_2
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15 18:49:02+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,364.0,14,26,364,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,161,161,800,850,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15 18:49:43+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,364.0,14,26,364,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,161,161,850,800,WBS,WBS,HH,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26 06:51:01+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24 06:51:41+00:00,2023,2024,cross_year,364.0,14,26,364,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,54,54,2750,2800,WBS,WBS,HH,HH,DESCENDING,DESCENDING
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26 06:51:41+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24 06:51:01+00:00,2023,2024,cross_year,364.0,14,26,364,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,54,54,2800,2750,WBS,WBS,HH,HH,DESCENDING,DESCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,406.0,14,29,406,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","beam_mode,polarization",161,161,800,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04 18:49:02+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,406.0,14,29,406,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","frame,beam_mode,polarization",161,161,800,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13 18:49:03+00:00,2023,2024,cross_year,406.0,14,29,406,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","frame,beam_mode,polarization",161,161,850,800,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04 18:49:43+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13 18:49:43+00:00,2023,2024,cross_year,406.0,14,29,406,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","beam_mode,polarization",161,161,850,850,WBD,WBS,HH;HV,HH,ASCENDING,ASCENDING
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13 18:42:45+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2023,2024,cross_year,420.0,14,30,420,0.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",frame,160,160,850,800,WBD,WBD,HH;HV,HH;HV,ASCENDING,ASCENDING
ALOS-2,ALOS2558332750-240924-WBSR1.1__D,2024-09-24 06:51:01+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06 18:42:05+00:00,2024,2024,same_year,12.49,14,1,14,1.51,False,"path,frame,beam_mode,polarization,flight_direction,look_direction","path,frame,beam_mode,polarization,flight_direction",54,160,2750,800,WBS,WBD,HH,HH;HV,DESCENDING,ASCENDING
